OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.013491866178810596" 
2, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.011322363279759884" 
2, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.012973448261618614" 
2, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.015860432758927345" 
2, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.033117122948169708" 
2, comb, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.054989725351333618" 
2, comb, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.10230936110019684" 
2, comb, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.031806975603103638" 
2, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.0090649072080850601" 
2, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.0067459330894052982" 
2, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.0056611816398799419" 
2, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.0064867241308093071" 
2, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.0079302163794636726" 
2, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.016558561474084854" 
2, comb, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.027494862675666809" 
2, comb, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.782941*((1.+(0.0634447*x))/(1.+(0.049041*x))))+0.051154680550098419" 
